G,Date,Start (ET),,,,Opponent,Outcome,,DenverNuggets,Opp,Margin,W,L,Streak,Notes
58,Fri Feb 22 2019,8:30p,,Box Score,@,Dallas Mavericks,W,,114,104,10,40,18,W 3,
59,Sun Feb 24 2019,5:00p,,Box Score,,Los Angeles Clippers,W,,123,96,27,41,18,W 4,
60,Tue Feb 26 2019,10:30p,,Box Score,,Oklahoma City Thunder,W,,121,112,9,42,18,W 5,
61,Thu Feb 28 2019,10:30p,,Box Score,,Utah Jazz,L,,104,111,-7,42,19,L 1,
62,Sat Mar 2 2019,9:00p,,Box Score,,New Orleans Pelicans,L,,112,120,-8,42,20,L 2,
63,Mon Mar 4 2019,8:30p,,Box Score,@,San Antonio Spurs,L,,103,104,-1,42,21,L 3,
64,Wed Mar 6 2019,10:30p,,Box Score,@,Los Angeles Lakers,W,,115,99,16,43,21,W 1,
65,Fri Mar 8 2019,10:30p,,Box Score,@,Golden State Warriors,L,,105,122,-17,43,22,L 1,
66,Tue Mar 12 2019,10:30p,,Box Score,,Minnesota Timberwolves,W,,133,107,26,44,22,W 1,
67,Thu Mar 14 2019,10:30p,,Box Score,,Dallas Mavericks,W,,100,99,1,45,22,W 2,
68,Sat Mar 16 2019,9:00p,,Box Score,,Indiana Pacers,W,,102,100,2,46,22,W 3,
69,Mon Mar 18 2019,7:30p,,Box Score,@,Boston Celtics,W,,114,105,9,47,22,W 4,
70,Thu Mar 21 2019,7:00p,,Box Score,@,Washington Wizards,W,,113,108,5,48,22,W 5,
71,Fri Mar 22 2019,7:30p,,Box Score,@,New York Knicks,W,,111,93,18,49,22,W 6,
72,Sun Mar 24 2019,5:00p,,Box Score,@,Indiana Pacers,L,,88,124,-36,49,23,L 1,
73,Tue Mar 26 2019,9:00p,,Box Score,,Detroit Pistons,W,,95,92,3,50,23,W 1,
74,Thu Mar 28 2019,8:00p,,Box Score,@,Houston Rockets,L,,85,112,-27,50,24,L 1,
75,Fri Mar 29 2019,8:00p,,Box Score,@,Oklahoma City Thunder,W,,115,105,10,51,24,W 1,
76,Sun Mar 31 2019,8:00p,,Box Score,,Washington Wizards,L,,90,95,-5,51,25,L 1,
77,Tue Apr 2 2019,10:30p,,Box Score,@,Golden State Warriors,L,,102,116,-14,51,26,L 2,
78,Wed Apr 3 2019,9:00p,,Box Score,,San Antonio Spurs,W,,113,85,28,52,26,W 1,
79,Fri Apr 5 2019,10:30p,,Box Score,,Portland Trail Blazers,W,,119,110,9,53,26,W 2,
80,Sun Apr 7 2019,9:00p,,Box Score,@,Portland Trail Blazers,L,,108,115,-7,53,27,L 1,
81,Tue Apr 9 2019,9:00p,,Box Score,@,Utah Jazz,L,,108,118,-10,53,28,L 2,
82,Wed Apr 10 2019,10:30p,,Box Score,,Minnesota Timberwolves,W,,99,95,4,54,28,W 1,
83,Sat Apr 13 2019,10:30p,,Box Score,,San Antonio Spurs,L,,96,101,-5,0,1,L 1,
84,Tue Apr 16 2019,9:00p,,Box Score,,San Antonio Spurs,W,,114,105,9,1,1,W 1,
85,Thu Apr 18 2019,9:00p,,Box Score,@,San Antonio Spurs,L,,108,118,-10,1,2,L 1,
86,Sat Apr 20 2019,5:30p,,Box Score,@,San Antonio Spurs,W,,117,103,14,2,2,W 1,
87,Tue Apr 23 2019,9:30p,,Box Score,,San Antonio Spurs,W,,108,90,18,3,2,W 2,
88,Thu Apr 25 2019,8:00p,,Box Score,@,San Antonio Spurs,L,,103,120,-17,3,3,L 1,
89,Sat Apr 27 2019,10:00p,,Box Score,,San Antonio Spurs,W,,90,86,4,4,3,W 1,
90,Mon Apr 29 2019,10:30p,,Box Score,,Portland Trail Blazers,W,,121,113,8,5,3,W 2,
91,Wed May 1 2019,9:00p,,Box Score,,Portland Trail Blazers,L,,90,97,-7,5,4,L 1,
92,Fri May 3 2019,10:30p,,Box Score,@,Portland Trail Blazers,L,4OT,137,140,-3,5,5,L 2,
93,Sun May 5 2019,7:00p,,Box Score,@,Portland Trail Blazers,W,,116,112,4,6,5,W 1,
94,Tue May 7 2019,10:30p,,Box Score,,Portland Trail Blazers,W,,124,98,26,7,5,W 2,
95,Thu May 9 2019,10:30p,,Box Score,@,Portland Trail Blazers,L,,108,119,-11,7,6,L 1,
96,Sun May 12 2019,3:30p,,Box Score,,Portland Trail Blazers,L,,96,100,-4,7,7,L 2,
